Ticker,Stock Name,Price Code,Ratios Code,In Market?
AETI,American Electric Technologies,GOOG/NASDAQ_AETI,DMDRN/AETI_ALLFINANCIALRATIOS,Active
AEY,Addvantage Technologies Group,GOOG/NASDAQ_AEY,DMDRN/AEY_ALLFINANCIALRATIOS,Active
AEZ.TO,AEterna Zentaris Inc,YAHOO/TSX_AEZ_TO,DMDRN/AEZ_TO_ALLFINANCIALRATIOS,Active
AF,Astoria Financial Corp.,GOOG/NYSE_AF,DMDRN/AF_ALLFINANCIALRATIOS,Active
AFAM,Almost Family Inc,GOOG/NASDAQ_AFAM,DMDRN/AFAM_ALLFINANCIALRATIOS,Active
AFCB,Athens Bancshares Corp.,GOOG/NASDAQ_AFCB,DMDRN/AFCB_ALLFINANCIALRATIOS,Active
AFCE,Afc Enterprises,GOOG/NASDAQ_AFCE,DMDRN/AFCE_ALLFINANCIALRATIOS,Active
AFFM,Affirmative Ins. Hldgs,GOOG/PINK_AFFM,DMDRN/AFFM_ALLFINANCIALRATIOS,Active
AFFX,Affymetrix,GOOG/NASDAQ_AFFX,DMDRN/AFFX_ALLFINANCIALRATIOS,Active
AFFY,Affymax,GOOG/NASDAQ_AFFY,DMDRN/AFFY_ALLFINANCIALRATIOS,Active
AFG,American Financial Group,GOOG/NYSE_AFG,DMDRN/AFG_ALLFINANCIALRATIOS,Active
AFL,Aflac Incorporated,GOOG/NYSE_AFL,DMDRN/AFL_ALLFINANCIALRATIOS,Active
AFOP,Alliance Fiber Optic Products,GOOG/NASDAQ_AFOP,DMDRN/AFOP_ALLFINANCIALRATIOS,Active
AFPW,AlumiFuel Power Corp,GOOG/PINK_AFPW,DMDRN/AFPW_ALLFINANCIALRATIOS,Active
AFSI,Amtrust Financial Services,GOOG/NASDAQ_AFSI,DMDRN/AFSI_ALLFINANCIALRATIOS,Active
AGCO,Agco Corp.,GOOG/NYSE_AGCO,DMDRN/AGCO_ALLFINANCIALRATIOS,Active
AGCZ,Andes Gold Corp,GOOG/PINK_AGCZ,DMDRN/AGCZ_ALLFINANCIALRATIOS,Active
AGEN,Agenus Inc.,GOOG/NASDAQ_AGEN,DMDRN/AGEN_ALLFINANCIALRATIOS,Active
AGF/B.TO,AGF Management Ltd. 'B',NA,DMDRN/AGF_B_TO_ALLFINANCIALRATIOS,Active
AGII,Argo Group International Holdings Ltd,GOOG/NASDAQ_AGII,DMDRN/AGII_ALLFINANCIALRATIOS,Active
AGM,Federal Agricultural Mortgage Corp.,GOOG/NYSE_AGM,DMDRN/AGM_ALLFINANCIALRATIOS,Active
AGM/A,Federal Agric Mtg Corp,NA,DMDRN/AGM_A_ALLFINANCIALRATIOS,Active
AGN,Allergan,GOOG/NYSE_AGN,DMDRN/AGN_ALLFINANCIALRATIOS,Active
AGNM,Acrongenomics inc,GOOG/PINK_AGNM,DMDRN/AGNM_ALLFINANCIALRATIOS,Active
AGO,Assured Guaranty Ltd,GOOG/NYSE_AGO,DMDRN/AGO_ALLFINANCIALRATIOS,Active
AGP,Amerigroup Corp.,GOOG/NYSE_AGP,DMDRN/AGP_ALLFINANCIALRATIOS,Active
